source	method	count	S_acc	D_acc	I_acc	All_acc	SER_MAE
llm	Aligner	250	0.9960	0.7880	1.0000	0.7880	0.0298
llm	LoRA	250	0.9000	0.8960	1.0000	0.8040	0.0251
llm	NLI	250	0.9960	0.8000	1.0000	0.8000	0.0286
llm	ScoreRouting	250	0.9960	0.9280	1.0000	0.9280	0.0096
llm	LR-Routing	250	0.9240	0.9440	1.0000	0.8760	0.0156
seq2seq	Aligner	250	1.0000	0.4840	1.0000	0.4840	0.0874
seq2seq	LoRA	250	0.7120	0.8840	0.9920	0.6120	0.0626
seq2seq	NLI	250	1.0000	0.7200	1.0000	0.7200	0.0401
seq2seq	ScoreRouting	250	0.9160	0.8080	1.0000	0.7240	0.0393
seq2seq	LR-Routing	250	0.8520	0.9560	0.9920	0.8040	0.0305
