personality	method	count	S_acc	D_acc	I_acc	all_acc	SER_MAE
AGREEABLE	aligner	200	1.0000	0.6300	1.0000	0.6300	0.0589
AGREEABLE	lora	200	0.8350	0.8550	1.0000	0.7150	0.0461
AGREEABLE	nli	200	1.0000	0.8750	1.0000	0.8750	0.0177
DISAGREEABLE	aligner	200	0.9900	0.6600	1.0000	0.6600	0.0536
DISAGREEABLE	lora	200	0.7850	0.8650	1.0000	0.6750	0.0499
DISAGREEABLE	nli	200	0.9900	0.7900	1.0000	0.7900	0.0309
EXTRAVERT	aligner	200	1.0000	0.5850	1.0000	0.5850	0.0700
EXTRAVERT	lora	200	0.8000	0.9350	0.9950	0.7350	0.0419
EXTRAVERT	nli	200	1.0000	0.7800	1.0000	0.7800	0.0318
CONSCIENTIOUSNESS	aligner	200	1.0000	0.6050	1.0000	0.6050	0.0657
CONSCIENTIOUSNESS	lora	200	0.8100	0.8900	1.0000	0.7150	0.0410
CONSCIENTIOUSNESS	nli	200	1.0000	0.7700	1.0000	0.7700	0.0339
UNCONSCIENTIOUSNESS	aligner	200	1.0000	0.6750	1.0000	0.6750	0.0559
UNCONSCIENTIOUSNESS	lora	200	0.8150	0.9000	0.9950	0.7300	0.0427
UNCONSCIENTIOUSNESS	nli	200	1.0000	0.6650	1.0000	0.6650	0.0513
