slot	method	n_present	correct_rate
name	aligner	1000	1.0000
name	lora	1000	1.0000
name	nli	1000	0.9980
eatType	aligner	974	0.9723
eatType	lora	987	0.9271
eatType	nli	989	0.9848
food	aligner	891	0.9169
food	lora	891	0.9237
food	nli	891	0.8171
priceRange	aligner	734	0.9973
priceRange	lora	734	0.8447
priceRange	nli	734	0.9441
customerRating	aligner	452	1.0000
customerRating	lora	453	0.8631
customerRating	nli	452	0.9978
area	aligner	904	0.9978
area	lora	905	0.9978
area	nli	904	0.9989
familyFriendly	aligner	942	0.6752
familyFriendly	lora	942	1.0000
familyFriendly	nli	942	0.9820
near	aligner	986	0.9959
near	lora	986	0.9817
near	nli	986	1.0000
