feature	importance_gain
top_score	0.342409
min_nli_prob	0.192108
nli_coverage	0.091779
topic_hotel	0.078557
slot_ratio	0.067783
n_gold_slots	0.062283
topic_restaurant_table	0.022323
topic_auto_repair_appt	0.020395
n_lora_slots	0.017768
score_spread	0.015586
topic_pizza_ordering	0.015281
topic_uber_lyft	0.014937
topic_tv	0.013142
mean_nli_prob	0.012136
topic_restaurant	0.010617
score_gap	0.009427
topic_movie_tickets	0.007946
topic_laptop	0.005524
topic_coffee_ordering	0.000000
topic_movie_ticket	0.000000
topic_restaurants	0.000000
topic_video_games	0.000000
