method	config	cost_weighted	dev_acc	count	S_acc	D_acc	I_acc	All_acc	SER_MAE	SER_MSE
LoRA	-	-	-	4510	0.8674	0.8933	0.9060	0.7641	0.0776	0.0403
NLI	-	-	-	4510	0.9268	0.8543	0.9523	0.8051	0.0495	0.0213
ScoreRouting	-	-	-	4510	0.9333	0.9124	0.9632	0.8614	0.0350	0.0133
LR-Routing	-	-	-	4510	0.9286	0.9251	0.9641	0.8681	0.0363	0.0160
XGB_d3_n100_lr0.1	{"max_depth": 3, "n_estimators": 100, "learning_rate": 0.1, "reg_lambda": 1.0, "reg_alpha": 0.1}	False	0.9676	4510	0.9284	0.9452	0.9685	0.8885	0.0327	0.0160
XGB_d3_n100_lr0.1_CW	{"max_depth": 3, "n_estimators": 100, "learning_rate": 0.1, "reg_lambda": 1.0, "reg_alpha": 0.1}	True	0.9160	4510	0.9379	0.9472	0.9707	0.9004	0.0291	0.0148
XGB_d4_n150_lr0.1	{"max_depth": 4, "n_estimators": 150, "learning_rate": 0.1, "reg_lambda": 1.0, "reg_alpha": 0.1}	False	0.9904	4510	0.9288	0.9457	0.9690	0.8894	0.0324	0.0159
XGB_d4_n150_lr0.1_CW	{"max_depth": 4, "n_estimators": 150, "learning_rate": 0.1, "reg_lambda": 1.0, "reg_alpha": 0.1}	True	0.9414	4510	0.9390	0.9450	0.9696	0.8996	0.0289	0.0147
XGB_d3_n200_lr0.05	{"max_depth": 3, "n_estimators": 200, "learning_rate": 0.05, "reg_lambda": 1.0, "reg_alpha": 0.1}	False	0.9668	4510	0.9297	0.9457	0.9690	0.8902	0.0321	0.0158
XGB_d3_n200_lr0.05_CW	{"max_depth": 3, "n_estimators": 200, "learning_rate": 0.05, "reg_lambda": 1.0, "reg_alpha": 0.1}	True	0.9178	4510	0.9379	0.9472	0.9707	0.9004	0.0291	0.0148
