topic	method	count	S_acc	D_acc	I_acc	All_acc	SER_MAE	SER_MSE
auto_repair_appt	LoRA	334	0.8503	0.9371	0.8892	0.7605	0.0944	0.0508
auto_repair_appt	NLI	334	0.9970	0.9641	0.9940	0.9581	0.0161	0.0070
auto_repair_appt	ScoreRouting	334	0.9491	0.9850	0.9850	0.9371	0.0272	0.0137
auto_repair_appt	LR-Routing	334	0.9341	0.9880	0.9880	0.9281	0.0319	0.0174
coffee_ordering	LoRA	269	0.8922	0.9517	0.9108	0.8401	0.0632	0.0351
coffee_ordering	NLI	269	0.8996	0.8067	0.9703	0.7732	0.0444	0.0182
coffee_ordering	ScoreRouting	269	0.9554	0.9703	0.9814	0.9257	0.0179	0.0078
coffee_ordering	LR-Routing	269	0.9517	0.9591	0.9777	0.9182	0.0226	0.0110
hotel	LoRA	337	0.9496	0.9911	0.9585	0.9110	0.0401	0.0221
hotel	NLI	337	0.9792	0.9377	0.9585	0.8961	0.0346	0.0163
hotel	ScoreRouting	337	0.9763	0.9703	0.9822	0.9407	0.0193	0.0082
hotel	LR-Routing	337	0.9733	0.9792	0.9852	0.9436	0.0203	0.0085
laptop	LoRA	469	0.8337	0.8401	0.8507	0.6631	0.0898	0.0301
laptop	NLI	469	0.9510	0.9168	0.9595	0.8699	0.0244	0.0087
laptop	ScoreRouting	469	0.9318	0.9104	0.9467	0.8571	0.0284	0.0081
laptop	LR-Routing	469	0.9296	0.9126	0.9446	0.8593	0.0305	0.0093
movie_ticket	LoRA	13	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000
movie_ticket	NLI	13	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000
movie_ticket	ScoreRouting	13	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000
movie_ticket	LR-Routing	13	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000
movie_tickets	LoRA	355	0.8873	0.9352	0.9521	0.8338	0.0645	0.0353
movie_tickets	NLI	355	0.9493	0.9070	0.9690	0.8620	0.0535	0.0279
movie_tickets	ScoreRouting	355	0.9437	0.9718	0.9887	0.9239	0.0293	0.0152
movie_tickets	LR-Routing	355	0.9408	0.9775	0.9831	0.9239	0.0354	0.0214
pizza_ordering	LoRA	320	0.8313	0.8594	0.8688	0.7031	0.1154	0.0727
pizza_ordering	NLI	320	0.8688	0.7625	0.9344	0.6813	0.1191	0.0753
pizza_ordering	ScoreRouting	320	0.9344	0.9344	0.9437	0.8406	0.0472	0.0188
pizza_ordering	LR-Routing	320	0.9187	0.9406	0.9344	0.8469	0.0527	0.0301
restaurant	LoRA	363	0.9862	1.0000	1.0000	0.9862	0.0048	0.0019
restaurant	NLI	363	0.9780	0.9394	0.9697	0.9091	0.0264	0.0110
restaurant	ScoreRouting	363	0.9890	1.0000	1.0000	0.9890	0.0034	0.0012
restaurant	LR-Routing	363	0.9890	1.0000	1.0000	0.9890	0.0034	0.0012
restaurant_table	LoRA	351	0.8718	0.9459	0.9231	0.8006	0.0891	0.0526
restaurant_table	NLI	351	0.9402	0.9202	0.9601	0.8604	0.0594	0.0324
restaurant_table	ScoreRouting	351	0.9402	0.9772	0.9829	0.9117	0.0354	0.0175
restaurant_table	LR-Routing	351	0.9573	0.9715	0.9687	0.9259	0.0401	0.0280
restaurants	LoRA	499	0.8377	0.7735	0.9419	0.7194	0.0449	0.0121
restaurants	NLI	499	0.7916	0.6413	0.9118	0.5992	0.0586	0.0155
restaurants	ScoreRouting	499	0.8357	0.7415	0.9319	0.7194	0.0465	0.0135
restaurants	LR-Routing	499	0.8357	0.7535	0.9419	0.7214	0.0431	0.0123
tv	LoRA	477	0.9140	0.8763	0.9455	0.7841	0.0527	0.0227
tv	NLI	477	0.9455	0.8302	0.9203	0.7400	0.0532	0.0138
tv	ScoreRouting	477	0.9266	0.8700	0.9434	0.7883	0.0479	0.0145
tv	LR-Routing	477	0.9161	0.8784	0.9455	0.7841	0.0496	0.0148
uber_lyft	LoRA	314	0.8949	0.9554	0.9395	0.8471	0.0811	0.0653
uber_lyft	NLI	314	0.9650	0.9395	0.9968	0.9331	0.0191	0.0106
uber_lyft	ScoreRouting	314	0.9745	0.9904	0.9968	0.9682	0.0143	0.0082
uber_lyft	LR-Routing	314	0.9586	0.9904	0.9968	0.9522	0.0223	0.0122
video_games	LoRA	409	0.6944	0.7653	0.7090	0.4303	0.1950	0.1010
video_games	NLI	409	0.8973	0.7677	0.9218	0.6822	0.0844	0.0303
video_games	ScoreRouting	409	0.8998	0.7628	0.9144	0.6748	0.0846	0.0302
video_games	LR-Routing	409	0.8924	0.8680	0.9340	0.7531	0.0711	0.0285
