topic	kind	name	basis	count	S_acc	D_acc	I_acc	All_acc	SER_MAE	paper_row
restaurants	rule	E2E script	full	997	0.8806	0.7302	0.9398	0.6991	0.0464	yes
restaurants	rule	E2E script	test	499	0.8617	0.7054	0.9299	0.6693	0.0489	no
restaurants	learned	LoRA	test	499	0.8377	0.7735	0.9419	0.7194	0.0449	no
restaurants	learned	NLI	test	499	0.7916	0.6413	0.9118	0.5992	0.0586	no
restaurants	learned	ScoreRouting	test	499	0.8357	0.7415	0.9319	0.7194	0.0465	no
restaurants	learned	LR-Routing	test	499	0.8357	0.7535	0.9419	0.7214	0.0431	yes
restaurant	rule	RNNLG	full	736	0.9715	0.8764	0.9565	0.8274	0.0551	yes
restaurant	rule	RNNLG	test	363	0.9669	0.8540	0.9532	0.8072	0.0608	no
restaurant	learned	LoRA	test	363	0.9862	1.0000	1.0000	0.9862	0.0048	no
restaurant	learned	NLI	test	363	0.9780	0.9394	0.9697	0.9091	0.0264	no
restaurant	learned	ScoreRouting	test	363	0.9890	1.0000	1.0000	0.9890	0.0034	no
restaurant	learned	LR-Routing	test	363	0.9890	1.0000	1.0000	0.9890	0.0034	yes
hotel	rule	RNNLG	full	693	0.9019	0.6580	0.8225	0.5036	0.1930	yes
hotel	rule	RNNLG	test	337	0.9139	0.6973	0.8457	0.5460	0.1869	no
hotel	learned	LoRA	test	337	0.9496	0.9911	0.9585	0.9110	0.0401	no
hotel	learned	NLI	test	337	0.9792	0.9377	0.9585	0.8961	0.0346	no
hotel	learned	ScoreRouting	test	337	0.9763	0.9703	0.9822	0.9407	0.0193	no
hotel	learned	LR-Routing	test	337	0.9733	0.9792	0.9852	0.9436	0.0203	yes
laptop	rule	RNNLG	full	942	0.8726	0.6762	0.8811	0.5435	0.1172	yes
laptop	rule	RNNLG	test	469	0.8806	0.6866	0.8785	0.5800	0.1034	no
laptop	learned	LoRA	test	469	0.8337	0.8401	0.8507	0.6631	0.0898	no
laptop	learned	NLI	test	469	0.9510	0.9168	0.9595	0.8699	0.0244	yes
laptop	learned	ScoreRouting	test	469	0.9318	0.9104	0.9467	0.8571	0.0284	no
laptop	learned	LR-Routing	test	469	0.9296	0.9126	0.9446	0.8593	0.0305	no
tv	rule	RNNLG	full	962	0.7640	0.5385	0.8378	0.3358	0.1739	yes
tv	rule	RNNLG	test	477	0.7757	0.4990	0.7987	0.3082	0.1875	no
tv	learned	LoRA	test	477	0.9140	0.8763	0.9455	0.7841	0.0527	no
tv	learned	NLI	test	477	0.9455	0.8302	0.9203	0.7400	0.0532	no
tv	learned	ScoreRouting	test	477	0.9266	0.8700	0.9434	0.7883	0.0479	yes
tv	learned	LR-Routing	test	477	0.9161	0.8784	0.9455	0.7841	0.0496	no
video_games	rule	ViGGO	full	806	0.7742	0.9156	0.9826	0.7196	0.0707	yes
video_games	rule	ViGGO	test	409	0.7751	0.9218	0.9951	0.7359	0.0587	no
video_games	learned	LoRA	test	409	0.6944	0.7653	0.7090	0.4303	0.1950	no
video_games	learned	NLI	test	409	0.8973	0.7677	0.9218	0.6822	0.0844	no
video_games	learned	ScoreRouting	test	409	0.8998	0.7628	0.9144	0.6748	0.0846	no
video_games	learned	LR-Routing	test	409	0.8924	0.8680	0.9340	0.7531	0.0711	yes
