personality	method	count	S_acc	D_acc	I_acc	All_acc	SER_MAE
AGREEABLE	Aligner	100	1.0000	0.6300	1.0000	0.6300	0.0563
AGREEABLE	LoRA	100	0.7800	0.8700	1.0000	0.6800	0.0509
AGREEABLE	NLI	100	1.0000	0.9000	1.0000	0.9000	0.0136
AGREEABLE	ScoreRouting	100	0.9600	0.9000	1.0000	0.8600	0.0188
AGREEABLE	LR-Routing	100	0.8500	0.9700	1.0000	0.8300	0.0259
CONSCIENTIOUSNESS	Aligner	100	1.0000	0.6500	1.0000	0.6500	0.0551
CONSCIENTIOUSNESS	LoRA	100	0.8300	0.8500	1.0000	0.7000	0.0436
CONSCIENTIOUSNESS	NLI	100	1.0000	0.7200	1.0000	0.7200	0.0395
CONSCIENTIOUSNESS	ScoreRouting	100	1.0000	0.8300	1.0000	0.8300	0.0234
CONSCIENTIOUSNESS	LR-Routing	100	0.9100	0.9100	1.0000	0.8200	0.0248
DISAGREEABLE	Aligner	100	0.9900	0.6400	1.0000	0.6400	0.0592
DISAGREEABLE	LoRA	100	0.7900	0.8800	1.0000	0.6800	0.0445
DISAGREEABLE	NLI	100	0.9900	0.7600	1.0000	0.7600	0.0345
DISAGREEABLE	ScoreRouting	100	0.9100	0.8800	1.0000	0.8000	0.0274
DISAGREEABLE	LR-Routing	100	0.8700	0.9600	1.0000	0.8400	0.0201
EXTRAVERT	Aligner	100	1.0000	0.6300	1.0000	0.6300	0.0581
EXTRAVERT	LoRA	100	0.8200	0.9300	0.9900	0.7400	0.0401
EXTRAVERT	NLI	100	1.0000	0.7700	1.0000	0.7700	0.0329
EXTRAVERT	ScoreRouting	100	0.9700	0.8500	1.0000	0.8200	0.0260
EXTRAVERT	LR-Routing	100	0.9300	0.9600	0.9900	0.8800	0.0190
UNCONSCIENTIOUSNESS	Aligner	100	1.0000	0.6300	1.0000	0.6300	0.0644
UNCONSCIENTIOUSNESS	LoRA	100	0.8100	0.9200	0.9900	0.7400	0.0401
UNCONSCIENTIOUSNESS	NLI	100	1.0000	0.6500	1.0000	0.6500	0.0511
UNCONSCIENTIOUSNESS	ScoreRouting	100	0.9400	0.8800	1.0000	0.8200	0.0265
UNCONSCIENTIOUSNESS	LR-Routing	100	0.8800	0.9500	0.9900	0.8300	0.0256
