threshold	n_lora	n_nli	count	S_acc	D_acc	I_acc	All_acc	SER_MAE
1.5	491	9	500	0.8280	0.8920	1.0000	0.7360	0.0402
1.75	454	46	500	0.8760	0.9040	1.0000	0.7880	0.0307
2.0	409	91	500	0.9080	0.9080	1.0000	0.8220	0.0251
2.25	398	102	500	0.9120	0.9080	1.0000	0.8260	0.0244
2.5	385	115	500	0.9220	0.9100	1.0000	0.8380	0.0228
2.6	378	122	500	0.9320	0.9120	1.0000	0.8500	0.0214
2.7	371	129	500	0.9360	0.9120	1.0000	0.8540	0.0210
2.75	364	136	500	0.9400	0.9120	1.0000	0.8580	0.0208
2.8	359	141	500	0.9440	0.9100	1.0000	0.8600	0.0208
2.85	355	145	500	0.9460	0.9100	1.0000	0.8600	0.0206
2.9	346	154	500	0.9520	0.9080	1.0000	0.8640	0.0200
2.95	339	161	500	0.9560	0.9100	1.0000	0.8680	0.0192
